team,rating,as_of_date
Papua New Guinea,1136.0,2025-12-13
Paraguay,1833.0,2025-12-13
Peru,1698.0,2025-12-13
Philippines,1155.0,2025-12-13
Poland,1735.0,2025-12-13
Portugal,1976.0,2025-12-13
Puerto Rico,1134.0,2025-12-13
Qatar,1427.0,2025-12-13
Reunion,1345.0,2025-12-13
Romania,1642.0,2025-12-13
Russia,1782.0,2025-12-13
Rwanda,1310.0,2025-12-13
Saba,691.0,2025-12-13
Saint Barthelemy,725.0,2025-12-13
Saint Kitts and Nevis,1005.0,2025-12-13
Saint Lucia,1008.0,2025-12-13
Saint Martin,1004.0,2025-12-13
Saint Pierre and Miquelon,677.0,2025-12-13
Saint Vincent and the Grenadines,1174.0,2025-12-13
Samoa,729.0,2025-12-13
San Marino,833.0,2025-12-13
Sao Tome and Principe,1055.0,2025-12-13
Saudi Arabia,1612.0,2025-12-13
Scotland,1790.0,2025-12-13
Senegal,1803.0,2025-12-13
Serbia,1769.0,2025-12-13
Serbia and Montenegro,1801.0,2006-03-01
Seychelles,841.0,2025-12-13
Sierra Leone,1344.0,2025-12-13
Singapore,1131.0,2025-12-13
Sint Eustatius,737.0,2025-12-13
Sint Maarten,957.0,2025-12-13
Slovakia,1687.0,2025-12-13
Slovenia,1695.0,2025-12-13
Solomon Islands,1091.0,2025-12-13
Somalia,961.0,2025-12-13
Somaliland,1002.0,2025-12-13
South Africa,1531.0,2025-12-13
South Korea,1784.0,2025-12-13
South Sudan,1133.0,2025-12-13
South Vietnam,1252.0,1975-03-17
South Yemen,1253.0,1980-03-22
Southern Rhodesia,1528.0,1954-05-05
Soviet Union,1899.0,1991-05-29
Spain,2171.0,2025-12-13
Sri Lanka,780.0,2025-12-13
Sudan,1352.0,2025-12-13
Surinam,1567.0,1970-11-11
Suriname,1441.0,2025-12-13
Swaziland,1286.0,2018-03-27
Sweden,1660.0,2025-12-13
Switzerland,1897.0,2025-12-13
Syria,1486.0,2025-12-13
Tahiti,1178.0,2025-12-13
Taiwan,866.0,2025-12-13
Tajikistan,1297.0,2025-12-13
Tanganyika,1251.0,1967-10-03
Tanzania,1325.0,2025-12-13
Thailand,1367.0,2025-12-13
Tibet,628.0,2025-12-13
Togo,1340.0,2025-12-13
Tonga,520.0,2025-12-13
Trinidad and Tobago,1402.0,2025-12-13
Tunisia,1641.0,2025-12-13
Turkey,1880.0,2025-12-13
Turkmenistan,1217.0,2025-12-13
Turks and Caicos Islands,657.0,2025-12-13
Tuvalu,757.0,2025-12-13
US Virgin Islands,617.0,2025-12-13
Uganda,1433.0,2025-12-13
Ukraine,1802.0,2025-12-13
United Arab Emirates,1549.0,2025-12-13
United Arab Republic,1689.0,1961-09-08
United States,1747.0,2025-12-13
Upper Volta,1311.0,1982-10-03
Uruguay,1890.0,2025-12-13
Uzbekistan,1735.0,2025-12-13
Vanuatu,1114.0,2025-12-13
Vatican,692.0,2025-12-13
Venezuela,1715.0,2025-12-13
Vietnam,1329.0,2025-12-13
Wales,1715.0,2025-12-13
Wallis and Futuna,701.0,2025-12-13
West Germany,2144.0,1974-09-04
Western Sahara,996.0,2025-12-13
Yemen,1150.0,2025-12-13
Yugoslavia,1819.0,2002-10-16
Zambia,1364.0,2025-12-13
Zanzibar,1319.0,2025-12-13
Zimbabwe,1352.0,2025-12-13
